Quantidade Iterações: 8540
Tempo de execução do método: 124.0325078 segundos

vetor x:

x1: -1.440827608	
x2: -0.9579655528	
x3: 0.3506653607	
x4: -0.09909962863	
x5: 0.6655350327	
x6: 1.162855029	
x7: -0.9128445983	
x8: -0.9632204771	
x9: 0.4641225934	
x10: -0.1121067703	
x11: 0.02225633152	
x12: -0.8755916357	
x13: -0.9380306602	
x14: 0.4579021931	
x15: 1.571774006	
x16: -0.3343955576	
x17: 1.120755672	
x18: 1.382736921	
x19: 1.085437417	
x20: 1.530245423	
x21: 0.3729767501	
x22: -1.599701881	
x23: -0.8089044094	
x24: -0.1393922716	
x25: -1.436498165	
x26: -0.5084889531	
x27: 1.290659428	
x28: -0.7642808557	
x29: 0.2193846107	
x30: 0.2978849709	
x31: 1.86202991	
x32: -0.2348730266	
x33: 0.6624641418	
x34: -1.214105487	
x35: -0.8597724438	
x36: 0.3440327942	
x37: 0.5419380069	
x38: -0.4544918835	
x39: 0.2924893796	
x40: -0.654907763	
x41: 0.5921320915	
x42: -0.6844156981	
x43: 0.2692705393	
x44: 0.3704147041	
x45: 1.450904608	
x46: -1.091416836	
x47: 0.2318011969	
x48: -1.708366871	
x49: 0.1448635906	
x50: 0.8023245931	
x51: -1.049193025	
x52: -0.1871852279	
x53: 1.246539831	
x54: 1.673668742	
x55: 0.01987917162	
x56: 1.503601432	
x57: -0.1408378333	
x58: -0.8562859297	
x59: -0.08626224101	
x60: -1.725097775	
x61: -0.808831811	
x62: -0.6038860083	
x63: 1.395676374	
x64: 0.2397095114	
x65: 2.061199188	
x66: 0.4620897174	
x67: 0.3704875708	
x68: -0.2069908082	
x69: -0.8749110103	
x70: 0.1859852374	
x71: -0.3597441912	
x72: -1.540981054	
x73: 0.5310838819	
x74: -0.1489724219	
x75: 0.2778853476	
x76: -0.5046426058	
x77: 0.701012671	
x78: -0.5830606818	
x79: 0.3711209297	
x80: 0.6833818555	
x81: -0.1103072688	
x82: -0.9054742455	
x83: 0.2533830106	
x84: 1.09178257	
x85: -2.163604021	
x86: 0.1282814592	
x87: 0.1552546173	
x88: 0.3639093041	
x89: -0.364883244	
x90: 0.3518089056	
x91: -0.5406274796	
x92: 0.2685897052	
x93: 1.161260962	
x94: -0.07781884074	
x95: -1.066444874	
x96: -0.09076941758	
x97: 0.4465217292	
x98: -0.2579763532	
x99: 1.673349261	
x100: -0.4292804599	
x101: -0.4133701324	
x102: 1.64119041	
x103: 0.3099810183	
x104: 0.5464647412	
x105: 1.344604015	
